day,total_records,unique_ips,unique_plugins,unique_asns,unique_ja4h
2025-10-20,24,22,6,15,7
2025-10-21,112,29,39,12,8
2025-10-22,452,29,275,10,13
2025-10-23,424,29,260,11,11
2025-10-24,27,11,12,5,9
2025-10-25,381,32,129,13,11
2025-10-26,177,18,120,6,11
2025-10-27,38,12,9,4,8
2025-10-28,104,23,86,8,11
2025-10-29,417,35,254,9,23
2025-10-30,161,25,75,12,14
2025-10-31,147,17,116,6,9
2025-11-01,367,18,282,12,11
2025-11-02,275,31,114,13,19
2025-11-03,212,23,65,6,9
2025-11-04,104,16,76,7,10
2025-11-05,227,28,106,14,14
2025-11-06,509,24,288,11,14
2025-11-07,540,29,350,13,17
2025-11-08,210,20,152,11,11
2025-11-09,251,21,169,13,19
2025-11-10,159,35,118,8,16
2025-11-11,239,43,154,11,17
2025-11-12,402,24,341,9,8
2025-11-13,132,16,79,8,12
2025-11-14,113,18,59,9,12
2025-11-15,141,26,93,9,14
2025-11-16,127,32,86,9,11
2025-11-17,139,28,83,14,15
2025-11-18,122,29,27,9,12
2025-11-19,266,37,62,11,11
2025-11-20,561,30,338,8,20
2025-11-21,454,54,112,13,12
2025-11-22,2440,103,349,15,21
2025-11-23,602,79,62,16,11
2025-11-24,697,42,284,10,17
2025-11-25,425,48,156,15,24
2025-11-26,659,89,202,14,19
2025-11-27,414,74,96,12,12
2025-11-28,388,50,126,9,16
2025-11-29,1009,141,347,21,15
2025-11-30,1118,106,344,22,21
2025-12-01,543,90,147,16,18
2025-12-02,280,36,51,10,12
2025-12-03,438,64,110,10,11
2025-12-04,220,76,33,10,12
2025-12-05,587,65,341,10,13
2025-12-06,816,70,193,9,23
2025-12-07,6550,60,262,5,11
2025-12-08,372,55,107,8,10
2025-12-09,365,53,118,9,13
2025-12-10,197,43,77,5,10
2025-12-11,113,46,4,3,7
2025-12-12,306,73,81,7,10
2025-12-13,242,59,65,4,8
2025-12-14,309,72,73,7,11
2025-12-15,594,59,343,8,11
2025-12-16,272,45,96,11,14
2025-12-17,144,39,27,10,10
2025-12-18,177,40,81,6,11
2025-12-19,250,64,76,7,10
2025-12-20,243,59,60,10,12
2025-12-21,238,56,110,8,11
2025-12-22,142,44,34,5,10
2025-12-23,349,45,94,9,14
2025-12-24,139,36,42,6,10
2025-12-25,678,42,97,9,12
2025-12-26,1019,62,41,6,9
2025-12-27,992,79,340,11,18
2025-12-28,618,62,320,9,11
2025-12-29,356,92,113,16,10
2025-12-30,256,54,100,10,13
2025-12-31,397,51,253,10,11
2026-01-01,305,40,121,10,10
2026-01-02,320,62,124,14,11
2026-01-03,397,56,144,12,15
2026-01-04,571,64,163,10,12
2026-01-05,219,55,95,11,11
2026-01-06,590,58,371,12,17
2026-01-07,222,31,55,8,10
2026-01-08,291,47,131,9,13
2026-01-09,482,65,200,8,13
2026-01-10,259,68,82,9,14
2026-01-11,285,68,127,8,11
2026-01-12,266,53,78,9,11
2026-01-13,210,50,60,12,13
2026-01-14,87,37,13,5,9
2026-01-15,51,26,5,5,8
2026-01-16,216,46,32,8,9
2026-01-17,898,66,339,19,13
2026-01-18,134,63,30,16,13
2026-01-19,319,40,133,15,13
